ID,FIPS,County,Population,White,Black,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Two or More Races,Year
43,1001,"Autauga County, Alabama",54634,43320,9730,258,484,47,795,2010
88,1003,"Baldwin County, Alabama",183275,160552,17427,1341,1368,120,2467,2010
133,1005,"Barbour County, Alabama",27366,13923,12914,166,112,47,204,2010
178,1007,"Bibb County, Alabama",22863,17494,5063,68,22,33,183,2010
223,1009,"Blount County, Alabama",57359,55405,817,351,125,63,598,2010
268,1011,"Bullock County, Alabama",10880,2866,7727,87,20,82,98,2010
313,1013,"Butler County, Alabama",20929,11419,9115,63,182,8,142,2010
358,1015,"Calhoun County, Alabama",118423,90426,24589,591,883,113,1821,2010
403,1017,"Chambers County, Alabama",34125,20218,13314,71,182,15,325,2010
448,1019,"Cherokee County, Alabama",25981,24223,1210,136,55,6,351,2010
493,1021,"Chilton County, Alabama",43700,38495,4353,210,146,85,411,2010
538,1023,"Choctaw County, Alabama",13836,7738,6009,18,12,0,59,2010
583,1025,"Clarke County, Alabama",25757,14066,11350,103,79,4,155,2010
628,1027,"Clay County, Alabama",13882,11515,2074,55,25,0,213,2010
673,1029,"Cleburne County, Alabama",14962,14232,499,52,23,11,145,2010
718,1031,"Coffee County, Alabama",50135,38812,8538,726,658,229,1172,2010
763,1033,"Colbert County, Alabama",54489,44298,8850,288,238,20,795,2010
808,1035,"Conecuh County, Alabama",13195,6833,6168,44,17,1,132,2010
853,1037,"Coosa County, Alabama",11549,7750,3600,63,16,17,103,2010
898,1039,"Covington County, Alabama",37774,32151,4746,232,158,1,486,2010
943,1041,"Crenshaw County, Alabama",13867,10154,3256,59,196,8,194,2010
988,1043,"Cullman County, Alabama",80471,77880,913,467,346,34,831,2010
1033,1045,"Dale County, Alabama",50333,38128,9817,401,543,52,1392,2010
1078,1047,"Dallas County, Alabama",43782,12800,30460,86,152,11,273,2010
1123,1049,"DeKalb County, Alabama",71108,65907,1271,1556,266,619,1489,2010
1168,1051,"Elmore County, Alabama",79544,61473,16074,329,535,85,1048,2010
1213,1053,"Escambia County, Alabama",38287,24067,12254,1298,99,20,549,2010
1258,1055,"Etowah County, Alabama",104452,85407,15990,580,738,334,1403,2010
1303,1057,"Fayette County, Alabama",17219,14984,1981,63,37,0,154,2010
1348,1059,"Franklin County, Alabama",31723,29419,1284,472,79,37,432,2010
1393,1061,"Geneva County, Alabama",26813,23543,2568,237,73,15,377,2010
1438,1063,"Greene County, Alabama",8999,1598,7330,18,15,0,38,2010
